ID	Question	QuestionDetails	Topics	NumberOfAnswers	LawyerName	PracticeState	AnswerDetails
11	"Q: I got a state trademark registration in Michigan,"	But now a similar business is using the same name for a store across the border in Indiana. Do I have any rights?	"Related Topics:
            
            Intellectual Property"	1	Paul Overhauser	"Indianapolis, IN"	"A: If there is actual or likely confusion caused by the similar name, you probably have rights that can be enforced. Both state law and the Federal Lanham Act allow claims for infringement of trademarks, even if there is no state or federal trademark registration. You should consult a trademark attorney for a more thorough answer.

Paul Overhauser

www.iniplaw.org

www.overhauser.com

317- 891-1500"
12	"Q: I am on probabtion in Fort Wayne, Indiana. I showed up for my drug test and they told me it was yesterday. What can i do"	null	"Related Topics:
            
            Criminal Law"	1	Terrence Rubino	"Dyer, IN"	A: you better get ahold of your probation officer immediately!
13	"Q: Can you get your Indiana Carpenters Annuity Fund (not pension), during hard times? We are about to lose our house!"	"We NEED that money and they said to write a letter of hardship and it would be brought up at the quarterly meeting. We did just that and we paid $18.00 to send it priority, they signed for it and DIDN'T bring it up at the quarterly meeting!!!! This may have been our last chance before our house goes into forclosure, which, by the way, we have been paying for for 12 years and didn't run into too much trouble until my husband was layed off after working as a foreman for 10 straight years! I feel that they have put us in this position and now that we need help, they won't even give us SOME of the money out of our annuity to catch up our mortgage and keep our home. I was just wondering if there was any loophole or anything that we can do to get some of our annuity. I just want to make it clear that this annuity is NOT our main retirement plan. It is a secondary plan forced on us by the union. This is NOT our pension, it is simply an annuity. Thanks for your time!"	"Related Topics:
            
            Employment Law"	1	Michael Bartolic	"Chicago, IL"	"A: While the Internal Revenue Code does permit, in order to maintain tax-qualified status, some plans to allow for certain hardship distributions (e.g., 401(k) plans), it is unusual for a defined benefit or annuity-type plan to provide for such distributions.  If this plan so provides, whether or not you can take the hardship distribution depends on whether you meet the plan's definition of ""hardship.""  Plans are not required to offer hardship withdrawals, but if they do the plan can be more restrictive about what is a ""hardship"" than otherwise permitted under the Tax Code."
14	"Q: Following a request for a support modification, my ex is filing for custody.  How do I find a pro bono lawyer."	"When facing homelessness, I asked my ex to take the children in until I found a place to live.  He said no.  When I was getting beat by my former boyfriend and asked him to take the kids.  He said no.  When my sisters were going to file for custody because of said beatings, they asked if he would take the kids.  He told them no.  Now he wants them after 8 years?"	"Related Topics:
            
            Family Law"	1	Burton A. Padove	"Highland, IN"	A: You can contact Indiana Legal Aid and/or the local probono office for the area where you live. You can find the local pro bono office at www.in.gov/judiciary
15	Q: I filed for divorce nearly a year ago and my wife will not sign the papers.  We had no children or property together.	We also do not share any debt.  Do I have to re-file or can I just petition the court to finalize and force her hand?	"Related Topics:
            
            Divorce"	1	Timothy Coe	"Westfield, IN"	"A: Depending on whether she ""appeared"" in the case you may be able to just ask the court for a default."
16	Q: Filed for divorce now my husband won't let me see the kids without him present.police won't help me.no money to hire	Lawyer he cleared bank account.We had a written agreement about visiting the children and he broke it by going home early while i was at work and my mom was at the house watching them. i had asked him to please stay out of the house while it was my day because he had followed me around yelling and fighting in from of our kids. so i found a nice apartment for me and the children and he won't let me take them there! I have been their primary caregiver and this is tearing me up inside to be without them.	"Related Topics:
            
            Family Law"	2	Burton A. Padove	"Highland, IN"	"A: If there is not a court order, you need to ask a court to approve your written agreement.  At that point, the agreement can be enforced by the court and if he violates the order, he can be held in contempt by the judge.  You may be able to qualify for pro bono services or if you live in an area that has a law school clinc, you might qualify for discounted legal services.  Otherwise, there are forms at the Indiana Supreme Court Web Site that may help you.  Also, you may be able to obtina a court order requiring your husband to pay for your lawyer fees."
17	"Q: I was adopted in late 60's,how do I open the records?"	null	"Related Topics:
            
            Adoption"	1	Burton A. Padove	Family Law Lawyer	"A: Indiana has a very comprehensive program concerning the opening of adoptions.  Ehow has an excellent How to article

http://www.ehow.com/how_6689642_open-adoption-records-indiana.html"
18	Q: Can a employer make you work 48-65 hours  a week with no extra pay and then make you take an extra day off bi-wkly instd	null	"Related Topics:
            
            Employment Law"	1	Timothy Coe	"Westfield, IN"	"A: The Fair Labor Standards Act requires that any time spent at work over 40 hours per week is paid overtime. Which means at least time-and-a-half. The Department of Labor enforces the FLSA or you can file a private law suit.

Best of luck!"
19	Q: The house and car are in my name only. They were aquired while married. She has moved out and we have no children.	null	"Related Topics:
            
            Divorce"	1	Timothy Coe	"Westfield, IN"	A: What is your question?
20	Q: If a federal grand jury is held on a person what is the percentage that he will be indited and how long will it take	null	"Related Topics:
            
            Criminal Law"	1	Burton A. Padove	"Highland, IN"	A: Each case is different so there really is no percentage not any way of knowing how much time a grand jury will take to evaluate the evidence and return an indictment.
21	Q: Does putting up a website make me subject to being sued in any state in the country?	null	"Related Topics:
            
            Internet Law"	2	Timothy James Walton	"Aptos, CA"	"A: Anybody that can pay the filing fee can file a lawsuit. Your question is whether a court in another state could exercise personal jurisdiction over you. This question is extremely complex and depends upon a variety of criteria. The leading case on the subject, Zipp Mfg, suggested a sliding scale, where it would depend upon what the web site contains. So, for example, the more interactive the web site, the more likely it would be to furnish jurisdiction, where a completely passive site (like a fixed billboard) would be less likely to result in the exercise of jurisdiction. 

I fear I have given only the briefest snapshot, but if you google the Zippo case, you should come up with tons of secondary discussion about it."
22	Q: Former employer informed many business owners I stole $100K from him.  Untrue.  Defamation?	null	"Related Topics:
            
            Employment Law"	2	Terrence Rubino	"Dyer, IN"	A: yes
23	Q: Is withholding or destruction of potentially exculpatory evidence grounds for dismissal of charges?	"A friend is being pressured to plead guilty to charges that she provided controlled substances to a police informant on two separate occasions.  The friend states that in the first instance, a third party admitted the informant to my friend's home without her prior knowledge or approval and the two of them bullied her into providing pills, for which she did not request payment.  Prosecution, despite repeated entreaties, has refused to provide the original digital recording of the event, saying that the chip was reused for recording other evidence.  A disc of the transaction provided leaves out passages where my friend says that she was alarmed and the defendant was behaving in an erratic and threatening manner.  Prosecution maintains that no recording of the second alleged transaction exists."	"Related Topics:
            
            Criminal Law"	1	Paul Stanko	Criminal Law Lawyer	"A: You are referring to a ""Brady"" violation.  Sanctions may be imposed by the court for serious Brady violations.  Theoretically that could include suppression of evidence possessed by the State, or even dismissal in an extreme case.  An attorney would need to convince the court that the destroyed evidence prevented the defendant from presenting a viable defense, thus violating his right to a fair trial."
24	Q: Can I make and sell model cars that are based on a famous Indianapolis 500 car?	null	"Related Topics:
            
            Intellectual Property"	1	Paul Overhauser	"Indianapolis, IN"	"A: This would be risky if you did not have the permission of the car designer and/or driver.  The care could be covered by a design patent.  Also, there is a somewhat famous case in which someone who did exactly what you propose was found to have violated the ""right of publicity"" of the driver.  In Motschenbacher v. R.J. Reynolds Tobacco Co., 498 F.2d 821 (9th Cir. 1974), the court found that infringement had occured because the design of the race car was so famous, that it was associated with the personality of the driver.

Paul Overhauser

317 891-1500

www.overhauser.com"
25	Q: Do I have any commercial rights over my own photographs?	null	"Related Topics:
            
            Intellectual Property"	1	Paul Overhauser	"Indianapolis, IN"	"A: It depends on what you mean by your ""own"" photographs. If these are photos you took, yes, you probably own copyrights to them. If someone else took picture of you, they would own the rights to them. However, you may also have a ""right of publicity,"" which would give you the right to prevent others from using the photos (or any other likeness of you) to sell a product or service.

Paul Overhauser

www.iniplaw.org

www.overhauser.com

317- 891-1500"
26	Q: What is the difference between a trademark and a service mark?	null	"Related Topics:
            
            Trademark"	1	Paul Overhauser	"Indianapolis, IN"	"A: A trademark is used in connection with products (such as TIDE for laundry detergent), while a servicemark is used in connection services (such as ROTO-ROOTER fo plumbing services).   Some marks can be both a trademark and a service, such as DAIRY QUEEN, which is used for both restaurant services, and, for products like ice cream cakes.

Paul Overhauser

317 891-1500

www.overhauser.com"
27	Q: Can i be fired for discussing wage cuts with non-co-workers ?	June 29 th i was fired for alleged customer abuse for discussing a major illegal wage cut for pizza hut delivery drivers.   Doesnt that violate my first amendment right to free speech ?	"Related Topics:
            
            Employment Law"	1	Terrence Rubino	"Dyer, IN"	"A: indiana is an ""at will"" state meaning employment generally can be terminated for any reason except for constitutionally protected areas like race, sex,age, ethnicity,retaliation for exercising a right. you might have a claim but need to contact a lawyer that concentrates his/her practice in employment law. you are welcome to call our firm's rich long for a free consultation. he is very experienced in employment law and should be able to give you guidance."
28	Q: I need a form to respond to a summons in a debt collection case.  Where can I find it?	null	"Related Topics:
            
            Collections"	1	Timothy Coe	Collections Lawyer	"A: Along with the summons should have been a ""Complaint"" to respond to the complaint you need to file an answer. These are very simple to do. Simply copy the heading on the complaint until it gets down to the word ""complaint"" in stead of complaint you type in ""answer"" then you respond to each of the numbered paragraphs by either admitting to the allegations or denying the allegations. This part is where attorneys are worth employing because even if there are true statements in the allegations you may want to deny that allegation in order to make the collector prove it. If there is still time you should consider contacting an attorney for help with this case. You can of course contact me, but the cost of an attorney might not be worth it if the amount of the debt is small."
29	Q: If I have been seperated from my husband for five years are we legally divorced by Indiana law	He got somebody else pregnant	"Related Topics:
            
            Divorce"	2	Burton A. Padove	"Highland, IN"	A: No.
30	Q: What can be done if my son was in a church van going to fast and busted his nose due to braking fast?	"My son and other children were in the church van, they said he was going really fast when all of a sudden, he braked fast to avoid hitting a car,  my son busted his nose on the window as he was looking  out, he bled for 20min then taken to the ER where he continued to bleed for another 15min. he bled later that night and the next day taken out of school for 2 nosebleeds, do I have a claim? He has a concussion just found out."	"Related Topics:
            
            Car Accidents"	1	Terrence H Thorgaard	"Freeport, FL"	"A: For the ER bill?  Probably.  File a claim with the church's automobile insurer.  There may be no-fault personal injury coverage, otherwise it appears that the driver was negligent.   But don't look for a large payday; I don't see much in the way of damages (other than, as I say, the ER bill)."
31	Q: Should I use an attorney to get a trademark?	null	"Related Topics:
            
            Intellectual Property"	1	Paul Overhauser	"Indianapolis, IN"	"A: You are not required to hire an attorney, but if you decide to prepare and submit your own application, you must comply with all requirements of the trademark statutes and rules and may be required to respond to legal issues raised by the the Trademark Office. Because the application process can be complex, many applicants hire an attorney to represent them. Your local Bar Association website may offer a referral service to help you find local attorneys who practice trademark law.

Paul Overhauser

317 891-1500

www.overhauser.com"
32	Q: How do I owe money if I did not steal anything?	"So, my previous place of employment terminated me about two weeks ago on accusations of stealing a store owned iPad mini. They had video camera footage of me removing the iPad mini from the office, and taking it to the downstairs stockroom. I used it to log into the companies internal website to access a few store apps, which are the same apps I use on my store handheld device. Two different devices, but doing the same task. This was the first time I had the idea of using the iPad mini to do the same work. Anyways, so instead of putting it back where I found it originally, I left it in one of the stores stockrooms by accident, and forgot I left it there. Apparently no one found it, so they called me into the Loss Prevention office and had a chat with me. During this meeting, I took them downstairs to get the iPad from where I left it. They got the iPad back, and there was nothing wrong with it. Three weeks go by. They call me into the LP office again, this time"	"Related Topics:
            
            Criminal Law"	1	Robert Jason De Groot	Criminal Law Lawyer	"A: You did not have permission prior to taking and using the device, and there is probably a statute which says they can sue you civilly."
33	Q: How do i go about getting guardianship over my daughter?	null	"Related Topics:
            
            Family Law"	1	Mr Jeffrey D Heck	"Carmel, IN"	A: You will need to hire a lawyer in many counties. You will need to have a Doctor's opinion on a court form or testimony before a judge that she is not medically capable caring for her person or assets.
34	Q: I'm looking for a criminal defence attorney for a serious felony case. in southbend. Who would you recommend ?	null	"Related Topics:
            
            Criminal Law"	1	Terrence Rubino	"Dyer, IN"	A: marty kus is one of the best criminal lawyers i know in that area. he is in laporte.
35	Q: I am being sued by CP productions for piracy. They are represented by Steele law firm.	Do I need a lawyer? I didn't do it.	"Related Topics:
            
            Copyright"	1	Paul Overhauser	Intellectual Property Lawyer	"A: Yes, you need an attorney. The laws regarding piracy are very much in favor of the owner of the intellectual property rights. Moreover, in most piracy cases, if you are found liable, you can be obligated to pay the attorneys fees of the IP owner, which can easily run into tens of thousands of dollars. I say this based on my experience in defending around 300 persons accused of piracy.

Paul Overhauser

www.iniplaw.org

www.overhauser.com

317- 891-1500"
36	Q: WHAT DO I DO IF MY ATTORNEY ISNT HELPING ME AND WE HAVE A WRITTEN CONTRACT	null	"Related Topics:
            
            Consumer Law"	1	Timothy Coe	Consumer Law Lawyer	"A: I think some more information is needed to answer your question. Specifically, what the case is about, when the case arose or was filed, what your attorney said she would do, and how you think your attorney is not helping you. If there is a contract with your attorney and she is simply not performing any of her duties under the contract, you should seek out another attorney to help you. But without further information I don't want to speculate or direct you to take any other action."
37	Q: Does Indiana uphold a guardinship ruling from another state?	null	"Related Topics:
            
            Child Custody"	1	Burton A. Padove	Divorce Lawyer	A: Generally speaking yes. I believe that the foreign order of guardianship needs to be registered in Indiana.
38	"Q: Can someone using my trademark as their domain name, be forced to give it to me or stop using it?"	If someone is using my trademarked name as a domain name registered in the USA is there any way I can get them to stop using it so I can register it?	"Related Topics:
            
            Trademark"	1	Terrence Rubino	"Dyer, IN"	A: it depends.  there are alot of factors. you are welcome to call our adam sedia to give him more detail and get an idea.  there is no charge for the phone call. you can check him out on our website:  rubinoruman.com
39	Q: A neighbor's tree fell on my home. Who pays to remove it and dispose of it properly?	null	"Related Topics:
            
            Real Estate Law"	2	Terrence Rubino	"Dyer, IN"	A: the easiest and most direct way is to contact your homeowners insurance agent. he/she will get the claim process going. however you probably have a deductible on your homeowners. if the cost to remove is not significantly higher than your deductible then you may want to contact the neighbor's homeowner's insurance company.
40	Q: Can my spouse get a 2nd morgage with out my signature with their name on first morgage	null	"Related Topics:
            
            Real Estate Law"	1	Mr Jeffrey D Heck	"Carmel, IN"	"A: If your name is on the property, it is theoretically possible but not typically done. There are too many problems in enforcing the mortgage with that split ownership to skip adding both spouses on the mortgage."
41	Q: If someone enters your home do you have the right to inflict harm to the intruder	If you have additional details about your question fill them here	"Related Topics:
            
            Criminal Law"	1	Burton A. Padove	"Highland, IN"	"A: The relevent parts of the Indiana Code are contained in

IC 35-41-3-2

Use of force to protect person or property

Sec. 2. (a) A person is justified in using reasonable force against another person to protect the person or a third person from what the person reasonably believes to be the imminent use of unlawful force. However, a person:

(1) is justified in using deadly force; and

(2) does not have a duty to retreat;

if the person reasonably believes that that force is necessary to prevent serious bodily injury to the person or a third person or the commission of a forcible felony. No person in this state shall be placed in legal jeopardy of any kind whatsoever for protecting the person or a third person by reasonable means necessary.

(b) A person:

(1) is justified in using reasonable force, including deadly force, against another person; and

(2) does not have a duty to retreat;

if the person reasonably believes that the force is necessary to prevent or terminate the other person's unlawful entry of or attack on the person's dwelling, curtilage, or occupied motor vehicle.

("
42	Q: Child Has Head Injury.	"What can be done if my son was in a church van going to fast and busted his nose due to braking fast? 

More details: 

My son and his sister were in the church van, they told the driver a long with other kids your're going to fast, when all of a sudden, he braked fast to avoid hitting a car, my son busted his nose on the window as he was looking out, he bled for 20 min then taken to the ER where he continued to bleed for another 15 min. he bled later that night and the next day taken out of school for 2 nosebleeds, two day's later we found out he has a concussion and still in pain."	"Related Topics:
            
            Personal Injury"	1	Adam Studnicki	"Phoenix, AZ"	"A: You can talk to a lawyer about making a claim against whichever drivers were negligence in the incident. 

Please Take Notice: I am not your lawyer unless we enter into an engagement agreement in writing. This is only general information. It is NOT legal advice, and it may not work for your specific situation. It is impossible to evaluate a legal problem without a comprehensive consultation and review of all the relevant facts and documents. I strongly encourage you to consult with a local lawyer to get legal advice and help with your specific situation at your earliest convenience. I am licensed to practice law in Arizona."
43	Q: I sent in a copyright application on which I had to state the year I was born.  Can I delete that from the public record	null	"Related Topics:
            
            Copyright"	1	Paul Overhauser	Intellectual Property Lawyer	"A: No. When you register a claim to copyright in a work with the Copyright Office, you create a public record of your claim to copyright. This record cannot be removed from the public record once it has been entered. All information you provide on your copyright registration will be available to the public and some of it on the Internet. Next time, consider whether you want to include a birth date, nickname, alias, or any other optional detail you consider to be sensitive on your application.

Paul Overhauser

317 891-1500

www.overhauser.com"
44	"Q: Do a married couple in Indiana has the same rights for property, such as a house? Can one spouse only decide to sell?"	null	"Related Topics:
            
            Real Estate Law"	1	Mr Jeffrey D Heck	"Carmel, IN"	"A: It depends on how the last deed of record (meaning on file with the county recorder) reads. If it includes the words, ""husband and wife,"" then, no, both spouses must sign because the property is a tenancy-by-the-entirety.

If the deed omits those words or says ""joint tenants with rights of survivorship"" or ""tenants-in-common,"" the selling spouse can sell that spouse's partial interest only. The remaining spouse has no obligation to sell, absent a court order such as in a divorce decree or separation order or decree of partition.

Beware that partial interests are not worth what you think. Selling a 50% interest is rarely likely to obtain 50% of the fair market value of the property. 30-35% is more likely."
45	Q: Do I have to register my trademark for it to be valid?	null	"Related Topics:
            
            Trademark"	1	Paul Overhauser	"Indianapolis, IN"	"A: No. You can establish rights in a mark based on use of the mark in commerce, without a registration. However, owning a federal trademark registration on the Principal Register provides several important benefits, including: Public notice of your claim of ownership of the mark; A legal presumption of your ownership of the mark and your exclusive right to use the mark nationwide on or in connection with the goods/services listed in the registration; The ability to bring an action concerning the mark in federal court; The use of the U.S. registration as a basis to obtain registration in foreign countries; The ability to record the U.S. registration with the U.S. Customs and Border Protection (CBP) Service to prevent importation of infringing foreign goods; The right to use the federal registration symbol ® and Listing in the United States Patent and Trademark Office’s online databases.

Paul Overhauser

www.iniplaw.org

www.overhauser.com

317- 891-1500"
46	"Q: Does a sub-chapter ""S"" corporation need a minutes book, and if so, can annual meeting minutes be kept in any binder?"	null	"Related Topics:
            
            Business Law"	1	Michael Ray Smith	"Fishers, IN"	"A: Any Indiana business corporation -- whether it is taxed as an S-corporation or a C-corporation -- is required to keep certain records specified by Indiana Code 23-1-52-1, including, among other things, minutes of all shareholder meetings and meetings of the board of directors. Those records must be maintained permanently, with at least the last three years of them kept at the corporation's principal office. Unless the corporation's articles or bylaws impose more specific requirements, they are not required to be kept in any particular form. In fact, they don't even have to be kept in a written form if they can be converted into a written form in a reasonable amount of time. In other words, records maintained in most common electronic forms -- such as on a computer's hard disk -- are fine. NOTE, however, that not all businesses taxed as S-corporations are actually corporations. Limited liabilty companies (LLCs) can also be taxed as S-corporations, and the recordkeeping requirements for LLCs, at least in Indiana, are considerably less stringent. Those requirements are listed in Indiana Code 23-18-4-5, and they do NOT include minutes of meetings. Again, the articles or operating agreement might create more stringent requirements -- and good business practice might also dictate maintaining minutes of member meetings, etc. -- but there's no statutory requirement for them."
47	Q: I aws in hospital due to complications with cancer and missed the inal hearing what can i do.	null	"Related Topics:
            
            Other"	1	Burton A. Padove	"Highland, IN"	"A: If the final decision seemed unfair to you, then you should contact an attorney to file a Motion to Set Aside under the catch all provision."
48	"Q: Im almost 18 and i want to know if i can get a visa, i have been here for 5 years and missed a court."	"Im an immigrant in the United States, I came here because immigration let my mom come here but we needed to go to court every week but my mom did not went the first court meeting(i was 14 i couldnt make my own decitions)...and know im almost 18 i want to know if there still a chance for me to get my visa?...please help me out is really important to me to know this."	"Related Topics:
            
            Immigration Law"	1	Camlinh Nguyen Rogers	Immigration Law Lawyer	"A: The stated facts create a complex case, and are insufficient to provide legal advice. 

You should sit down with an experienced immigration attorney, who will investigate the facts and counsel you with solution for your case. Most careful and liable attorneys would not respond to complex cases questions without understanding specific facts.  Good luck.  www.aba-us.com"
49	Q: Can we sue over someone bad mouthing us?	My husband repaired someones vehicle. He charged them considerably less then he has charged others for the same repair. Approximately 2 months after the return of the vehicle it started acting up again. When my husband found out he tried to make contact with the owner to check the vehicle out.  The owner would not return communication though. My husband checked to see what warranty was on the parts he had purchased to put on the vehicle. We have now been informed by 3 different people that the owner of the vehicle is saying that my husband ripped him off and has not made any attempt to fix his car. He is also threatening to sue us for the repairs. Two of the people that have contacted us about the threat of a lawsuit and the defamation are repair shop owners whom my husband works very closely with for his job. Do we have legal recourse for liable in this case and if so what kind of attorney should we look for?	"Related Topics:
            
            Libel & Slander"	1	Timothy Coe	"Westfield, IN"	"A: I would say that the best thing to do is that if you get sued by the car owner to counterclaim for defamation, and any other tings you might be able to think of. Defamation is a complicated area of the law, so I'd recommend talking to a local lawyer to whom you can tell all of the facts within the attorney-client relationship. 

Best of luck!"
50	Q: What will happen on 1st offense shoplifting and no criminal record? Paying my bond	null	"Related Topics:
            
            Criminal Law"	2	Gojko Kasich	"Hebron, IN"	"A: If you're not going to hire an attorney, you need to take a quick look at http://www.in.gov/legislative/ic/code/title35/ar43/ch4.html, which sets out property crimes in Indiana.  If you are charged with Theft, it's a D felony punishable by a sentence of 6 months to 3 years, with an advisory [or starting point] of 18 months.  Any or all of the sentence can be ""suspended"" [held in abeyance] and you could be ordered to serve it on probation.  Of course, if you violate probation by committing a new crime or by breaking other rules that you have agreed to follow, you can have your probation revoked and you can be sent to jail/DOC to complete your suspended term.

The Court has the right, if you have a clean record as you say, to treat the D felony as a misdemeanor, either at the time of the original plea/sentence or wait to see if you satisfactorily complete probation.

The case can also be charged as an A misdemeanor conversion, which has a maximum term of 1 year.  Under Indiana good time credit provisions, if you behave yourself, you get TWO days of credit for every day you serve in jail and now . . . with a recent law change . . . if you serve it on home detention.

Having said all of that, I'd be SHOCKED if you received anything other than probation . . . unless you were shoplifting a $2500 washer/dryer set or something similar."
51	Q: Does the Patent Office set the fees charged by patent attorneys for a patent?	null	"Related Topics:
            
            Patents"	1	Paul Overhauser	Patents Lawyer	"A: No. The price is  between you and your patent attorney, and the Patent  Office takes no part. To avoid misunderstanding you may wish to ask for estimate charges for: (a) the search (b) preparation of the patent application, and (c) prosecution.

Paul Overhauser

317 891-1500

www.overhauser.com"
52	Q: What will happen on 1st offense shoplifting and no criminal record? Paying my bond	null	"Related Topics:
            
            Criminal Law"	2	Michael E. Polen Jr.	Criminal Law Lawyer	"A: Often times the prosecutor will take all of the facts, including a clean record, in to account when negotiating a plea.  You need to retain a lawyer to attempt to negotiate on your behalf.  Possible punishment for a guilty plea ranges from probation to jail time and/or a fine."
53	Q: Can the prosecutor force a whitness testify? When key witness is a minor and family member of the person on trial.	And what is the protocall for the prosicutor going to the home of the key witness and threating them that if they dont testify that they will be arested.	"Related Topics:
            
            Criminal Law"	2	Gojko Kasich	"Hebron, IN"	"A: 1.  If you are served with a subpoena, you must appear in Court.  Be aware, however, that the Lake County Prosecutor sends out something that looks almost identical to a COURT subpoena, but it's simply a notice that they want you to come to their office and talk to them.  You do NOT have to do that. You might want to check with a lawyer to make sure that it's a COURT subpoena rather than a ""prosecutor's"" subpoena.

2.  If your testimony in open court may possibly result in a perjury charge, or a false informing charge, you have the right to claim a 5th amendment privilege.  The 5th says you can not be compelled to provide information that may help convict YOU of a crime.  I'd suggest you talk to an attorney before you do that.  You can hire your own or, if you are indigent, request that the Court appoint a public defender to represent you. At the beginning of your testimony, advise the Court that you might need to take the 5th, and that you'd like to have a lawyer appointed for you [again, if you are indigent].

3.  In MY opinion, a prosecutor threatening arrest should be turned into the Indiana Disciplinary Commission.  The prosecutor has NO authority to have you arrested; only the JUDGE can do that.  And again, there is NO REQUIREMENT that you talk to a prosecutor before your testimony. Prosecutors tend to get arrogant after they've been prosecutors for more than 6 months or so and they think they have the right to bully witnesses.  They don't.

4.  With regard to Mr. Polen's idea about having a subpoena quashed, good luck with that.  Unless you're an expert who wants to be paid for expert testimony, or a newspaper reporter, I can't think of many other situations where subpoenas have been quashed in criminal cases."
